Suburb,Latitude,Longitude
Aranda,-35.25662,149.07967
Belconnen,-35.23934,149.06822
Bruce,-35.24245,149.07826
Charnwood,-35.20536,149.03225
Cook,-35.25905,149.06393
Dunlop,-35.19955,149.01945
Evatt,-35.20903,149.07309
Florey,-35.22692,149.05478
Flynn,-35.19984,149.04421
Fraser,-35.19279,149.04407
Giralang,-35.21527,149.10015
Hall,-35.17047,149.07016
Hawker,-35.24316,149.04509
Higgins,-35.23139,149.02671
Holt,-35.22228,149.01876
Jamison Centre,-35.25217,149.07119
Kaleen,-35.21967,149.10252
Kinlyside,-35.17218,149.07642
Kippax,-35.22245,149.02042
Latham,-35.2183,149.03215
Lawson,-35.22362,149.10033
Macgregor,-35.20998,149.01182
Macquarie,-35.24788,149.05899
Mckellar,-35.21686,149.07405
Melba,-35.20925,149.04956
Page,-35.24056,149.05161
Scullin,-35.23383,149.03967
Spence,-35.19469,149.06086
University Of Canberra,-35.238276,149.084322
Weetangera,-35.248942,149.049449
Amaroo,-35.173013,149.122768
Bonner,-35.162357,149.138138
Casey,-35.171256,149.09791
Crace,-35.201251,149.112006
Forde,-35.169869,149.142383
Franklin,-35.202736,149.132863
Ginninderra Village,-35.198925,149.017654
Gungahlin,-35.26032,149.087433
Harrison,-35.201285,149.150435
Mitchell,-35.215358,149.141514
Moncrieff,-35.161734,149.113318
Ngunnawal,-35.173214,149.108638
Nicholls,-35.229086,149.023415
Palmerston,-35.197861,149.123379
Taylor,-35.156194,149.10472
Acton,-35.27765,149.11868
Ainslie,-35.26267,149.144897
Black Mountain,-35.275092,149.096335
Braddon,-35.263413,149.133058
Campbell,-35.290193,149.153759
Canberra,-35.279552,149.128824
City,-35.280277,149.132461
Crace,-35.201251,149.112006
Dickson,-35.250697,149.140536
Downer,-35.244629,149.1459
Hackett,-35.24788,149.163042
Lyneham,-35.251405,149.124797
Mitchell,-35.215358,149.141514
O'Connor,-35.263508,149.121493
Reid,-35.282042,149.140168
Turner,-35.266207,149.125341
Watson,-35.238354,149.153803
Barton,-35.310963,149.133061
Canberra International Airport,-35.307517,149.190366
Capital Hill,-35.30915,149.119598
Causeway,-35.316262,149.152176
Deakin,-35.313753,149.107633
Deakin West,-35.320591,149.093644
Duntroon,-35.30171,149.162527
Fairbairn Raaf, ,
Forrest,-35.315035,149.12854
Fyshwick,-35.328194,149.177053
Griffith,-35.319812,149.13386
Harman,-35.279552,149.128824
Hmas Harman,-35.347753,149.199942
Kingston,-35.315413,149.144168
Majura,-35.272269,149.195523
Manuka,-35.318633,149.136701
Narrabundah,-35.332549,149.153135
Parkes,-35.301605,149.130241
Parliament House,-35.308156,149.124395
Pialligo,-35.303553,149.179963
Red Hill,-35.340763,149.131509
Russell,-35.297268,149.150108
Russell Hill,-35.207233,149.037016
Symonston,-35.349283,149.154976
Yarralumla,-35.307381,149.098215
Banks,-35.474052,149.093096
Beard,-35.34308,149.209125
Bonython,-35.430763,149.080279
Calwell,-35.435654,149.112734
Chisholm,-35.271779,149.145623
Conder,-35.456673,149.093501
Erindale Centre,-35.390082,149.112133
Fadden,-35.405189,149.117963
Gilmore,-35.420161,149.136156
Gordon,-35.45042,149.083929
Gowrie,-35.414152,149.109737
Greenway,-35.418493,149.068248
Hume,-35.389296,149.169422
Isabella Plains,-35.428472,149.090864
Kambah,-35.39479,149.07086
Kambah Village,-35.367231,149.064655
Kowen Forest,-35.319632,149.249349
Macarthur,-35.40894,149.125966
Monash,-35.415864,149.089789
Oaks Estate,-35.382879,149.070831
Oxley,-35.404197,149.078009
Richardson,-35.427524,149.116039
Tharwa,-35.508695,149.066848
Theodore,-35.446311,149.119551
Top Naas,-35.602211,149.034139
Tuggeranong,-35.38206,149.094504
Wanniassa,-35.401691,149.098756
Chapman,-35.356043,149.040444
Duffy,-35.337216,149.032098
Fisher,-35.362093,149.056596
Holder,-35.337089,149.043599
Mount Stromlo,-35.32564,149.000902
Pierces Creek,-35.343976,148.920827
Rivett,-35.347476,149.035575
Stirling,-35.352486,149.046685
Uriarra Forest,-35.316244,148.908316
Waramanga,-35.352046,149.059705
Weston,-35.339389,149.052672
Weston Creek,-35.321618,149.05581
Chifley,-35.352371,149.075445
Curtin,-35.326132,149.083535
Farrer,-35.37616,149.101801
Garran,-35.341724,149.108777
Hughes,-35.334181,149.094329
Isaacs,-35.36742,149.111971
Lyons,-35.339181,149.075996
Mawson,-35.364204,149.095303
O'Malley,-35.350407,149.106077
Pearce,-35.361025,149.083972
Phillip,-35.279552,149.128824
Swinger Hill,-35.350779,149.097918
Torrens,-35.372542,149.086245
Woden,-35.279552,149.128824
